ts,symbol,side,price,quantity,order_id
1759080000100,EURUSD,B,1.183,100,1
1759080000100,EURUSD,S,1.183,100,2
1759080000100,EURUSD,B,1.183,50,3
1759080000100,EURUSD,S,1.183,50,4
1759080000100,EURUSD,B,1.183,33,5
1759080000100,EURUSD,S,1.183,33,6
1759080001200,EURUSD,B,1.183,81,7
1759080001200,EURUSD,S,1.183,100,8
1759080001200,EURUSD,B,1.18299,40,9
1759080001200,EURUSD,S,1.18301,50,10
1759080001200,EURUSD,B,1.18299,27,11
1759080001200,EURUSD,S,1.18301,33,12
1759080003200,EURUSD,B,1.183,75,13
1759080003200,EURUSD,S,1.18301,100,14
1759080003200,EURUSD,B,1.183,37,15
1759080003200,EURUSD,S,1.18301,50,16
1759080003200,EURUSD,B,1.183,25,17
1759080003200,EURUSD,S,1.18302,33,18
1759080005200,EURUSD,B,1.18301,94,19
1759080005200,EURUSD,S,1.18301,100,20
1759080005200,EURUSD,B,1.183,47,21
1759080005200,EURUSD,S,1.18302,50,22
1759080005200,EURUSD,B,1.183,31,23
1759080005200,EURUSD,S,1.18302,33,24
1759080007200,EURUSD,B,1.18301,99,25
1759080007200,EURUSD,S,1.18301,100,26
1759080007200,EURUSD,B,1.183,49,27
1759080007200,EURUSD,S,1.18302,50,28
1759080007200,EURUSD,B,1.183,33,29
1759080007200,EURUSD,S,1.18302,33,30
1759080009200,EURUSD,B,1.18301,97,31
1759080009200,EURUSD,S,1.18301,100,32
1759080009200,EURUSD,B,1.183,48,33
1759080009200,EURUSD,S,1.18302,50,34
1759080009200,EURUSD,B,1.183,32,35
1759080009200,EURUSD,S,1.18302,33,36
1759080010800,EURUSD,B,1.18301,96,37
1759080010800,EURUSD,S,1.18301,100,38
1759080010800,EURUSD,B,1.183,48,39
1759080010800,EURUSD,S,1.18302,50,40
1759080010800,EURUSD,B,1.183,32,41
1759080010800,EURUSD,S,1.18302,33,42
1759080012800,EURUSD,B,1.18301,86,43
1759080012800,EURUSD,S,1.18301,100,44
1759080012800,EURUSD,B,1.183,43,45
1759080012800,EURUSD,S,1.18302,50,46
1759080012800,EURUSD,B,1.183,28,47
1759080012800,EURUSD,S,1.18302,33,48
1759080014800,EURUSD,B,1.18301,71,49
1759080014800,EURUSD,S,1.18301,100,50
1759080014800,EURUSD,B,1.183,35,51
1759080014800,EURUSD,S,1.18302,50,52
1759080014800,EURUSD,B,1.183,23,53
1759080014800,EURUSD,S,1.18302,33,54
1759080016800,EURUSD,B,1.183,58,55
1759080016800,EURUSD,S,1.183,100,56
1759080016800,EURUSD,B,1.18299,29,57
1759080016800,EURUSD,S,1.18301,50,58
1759080016800,EURUSD,B,1.18299,19,59
1759080016800,EURUSD,S,1.18301,33,60
1759080018800,EURUSD,B,1.183,47,61
1759080018800,EURUSD,S,1.183,100,62
1759080018800,EURUSD,B,1.18299,23,63
1759080018800,EURUSD,S,1.18301,50,64
1759080018800,EURUSD,B,1.18299,15,65
1759080018800,EURUSD,S,1.18301,33,66
1759080020800,EURUSD,B,1.183,39,67
1759080020800,EURUSD,S,1.183,100,68
1759080020800,EURUSD,B,1.18299,19,69
1759080020800,EURUSD,S,1.18301,50,70
1759080020800,EURUSD,B,1.18299,13,71
1759080020800,EURUSD,S,1.18301,33,72
1759080022800,EURUSD,B,1.18299,32,73
1759080022800,EURUSD,S,1.183,100,74
1759080022800,EURUSD,B,1.18299,16,75
